ID,Question,Answer
1,t's the only Asian great ape,the orangutan
2,It's what an archerfish shoots to bring down insects,water
3,"This predator that comes in gray and red types is a bit camera-shy, but its tracks are seen here",the wolf
4,"A traditional sign of spring in England is a letter to the Times saying, I heard this ""crazy"" bird's call",a cuckoo
5,"(Sarah of the Clue Crew appears from the USC Wrigley Institute on Catalina Island, CA.) Though thriving now, Catalina Island foxes were threatened in the '90s by the infectious disease marked by fever & catarrh known as canine this",distemper
6,"This bird's whooping call is said to carry 2 miles, & its courtship displays include a leaping dance",whooping crane
7,"(Jimmy of the Clue Crew poses next to a cow at Old World, Wisconsin.) This is the name of a cow that is less than 3 years old that hasn't given birth; Zeus turned Io into a white one",a heifer
8,We'd like to see David Blaine vs. this flightless bird in a breath-holding contest (some can go 22 min. underwater),penguin
9,"This ""demonic"" marsupial is extinct from the Aussie mainland but still lives close by",Tasmanian devil
10,It's the amused African mammal heard here,hyena
11,"On the squirrel monkey of South America, this may be 16 inches long",the tail
12,Animal that was the main staple of the Plains Indians economy,buffalo
13,"The bulls of this tusked aquatic mammal also known as the morse may weigh over 3,000 pounds",the walrus
14,"While on safari in Africa, your guide may point out a dik-dik, a small one of these animals",an antelope
15,"This handsome imperiled type of owl seen here has Northern, Californian & Mexican subspecies",the spotted owl
16,Its legs are 6 feet long & its neck can be even longer,a giraffe
17,Bactrian & dromedary are the 2 main types of this desert creature,a camel
18,The percheron & the palomino are types of this,a horse
19,The rabbit seen here has this name after one of its features,cottontail
20,"Pythons are oviparous, meaning they do this",lay eggs
21,"In a children's tale, Jack traded one of these barnyard animals for some magic beans",cow
22,Yipes Stripes! The Grevy species of this was named for a president of France,zebra
23,In an aardvark these are diiferent from yours; they have no enamel,teeth
24,"""The Encyclopedia of Mammals"" calls it the most heavily armored mammal alive today",armadillo
25,"(Sarah of the Clue Crew in Alaska) The name of this raptor comes from a word meaning ""to grasp""",hawk
26,"The fact that this lizard's name is from the Greek for ""ground lion"" never changes",chameleon
27,"(Jimmy of the Clue Crew reports from the San Diego Zoo.) A giraffe's tail, which is about 3 feet long, is used to swat this bloodsucking fly that causes sleeping sickness",tsetse fly
28,"The suni, a small one of these graceful African mammals, is barely 15 inches high",antelope
29,"The common type of this marsupial has coarse, thick fur while that of the hairy-nosed is short & silky",wombat
30,"(Cheryl of the Clue Crew reports from the L.A. County Natural History Museum.) This sea mammal, whose skull is seen here, has a spiral tusk that keeps growing & growing & growing... & growing & growing",the narwhal
31,It's the common term for the young of a whale as well as a cow,Calf
32,"Of a wild dog, a rabbit or a bird, what a jackdaw is",Bird
33,"This civet relative not only kills cobras but mice, rats & poultry as well",Mongoose
34,"These mollusks, not oysters, are the most common source for freshwater pearls",Mussels
35,"""Euell"" be glad to know these small apes are the only ones to habitually walk erect",Gibbons
36,All but one of the domesticated breeds of this animal are derived from the mallard,Duck
37,The screech type of this creature may make its nest in a Saguaro cactus,Owl
38,The Weddell species of this animal can stay underwater for over an hour,Seal
39,"Similar to a wattle, it's the throat flap of Zebu cattle or the mole anole lizard",Dewlap
40,Dingoes go after these burrowing marsupials that come in a common & a hairy-nosed type,Wombats
41,"The beak of this flightless bird of Antarctica can be black, red, orange or bright purple",penguin
42,Buckskin was originally made from the mule & white-tailed species of this ungulate,deer
43,"A species of this insect, Apidae bumbus, ranges from above the Arctic Circle to as far south as Tierra del Fuego",bumblebee
44,"In a boon to lab research, in 1956 it was found that this ""golden"" rodent could be infected with the common cold",hamster
45,"This flightless South American bird often associates with guanacos, forming mixed herds",rhea
46,The monkey-eating species of this bird lives in the Philippines; the bald species lives in the U.S.,the eagle
47,These birds range in size from the 1-foot blue to the 4-foot emperor,the penguin
48,Group of mammals seen here:[like Timon in The Lion King],meerkats
49,"It has webbed, padded toes & can drink over 20 gallons of water in a single drink",the camel
50,"This land animal can weigh more than 8,000 pounds & can open its immense jaws 150 degrees",the hippopotamus
51,This Arctic bear may travel 40 miles a day on ice floes,Polar bear
52,"In the mountain ""mist"" of central & w. Africa you can still find a few of these endangered mammals",Gorillas
53,It's the nearly extinct tiger seen here in its natural habitat:,Siberian tiger
54,In 1961 a federal law banned the importation of this South American fish into the U.S.,Piranha
55,"The Western Hemisphere's largest snake, it's also called a water boa",Anaconda
56,"Among bears, this is the best swimmer",Polar bear
57,The jackrabbit isn't really a rabbit but one of these relatives,Hare
58,"Like this similarly named mammal, the aardwolf eats mainly termites",Aardvark
59,The Viceroy type of this insect is protected by its resemblance to the bad-tasting Monarch,Butterfly
60,"There are 3 species of bluebird but over 20 of these birds, including grackles",Blackbirds
61,"On a turtle, it's made up of a carapace & plastron",Shell
62,Only gorillas & these other primates walk on their knuckles,Chimpanzees
63,Sapsuckers are a type of these birds that extract insects from trees by strokes of their bills,Woodpeckers
64,"Biologist Johannes Schmidt located the Sargasso Sea breeding area of this ""elongated"" freshwater fish",Eel
65,"These small, slender mammals often kept as pets were domesticated from the European polecat",Ferrets
66,"In a matter of minutes, a school of these South American fish can reduce a large mammal to a skeleton",Piranha
67,"A popular performer at aquariums, this dolphin is named for the shape of its snout",Bottlenose dolphin
68,"These swift felines of Africa & Asia are also known as ""hunting leopards""",Cheetahs
69,The name of this graceful antelope may remind you of a classic Chevy,Impala
70,These Arctic rodents famous for their mass migrations are a favorite food of the snowy owl,Lemmings
71,"When threatened, the crested one of these erects & rattles its quills",Porcupine
72,Some Arabs believe the eggshells of these tallest birds are magical & use them to repel lightning,Ostriches
73,"The honey possum, a tiny marsupial, feeds on this sweet liquid, a favorite of hummingbirds",Nectar
74,The pocket gopher uses this almost hairless appendage as a sense organ to feel its way in the dark,Tail
75,"As its name implies, the geochelone elephantopus of the Galapagos is a really big one of these",Tortoise
76,Most of the quills on the thin-spined species of this rodent are on its head,the porcupine
77,1 of only 2 species of eagle to breed in the U.S. & Canada,the golden eagle (or the bald eagle)
78,"The ornate chorus species of these tailless amphibians are less than 2"" in length",frogs
79,The siamang of Sumatra & Malaysia is the largest type of this smallest ape,a gibbon
80,This largest toothed whale is also called a cachalot,the sperm whale
81,"In 1956 it was discovered that hamsters could be infected with this ""common"" human malady",the common cold
82,"Many American breeds of this animal, like the rambouillet, are raised more for their fleece than for meat",sheep
83,This crab's habit of waving its big claw gave it a musical name,the fiddler crab
84,In 1996 158 of these endangered marine mammals died in a red tide of toxic algae in Florida,manatees
85,The Canadian government has blamed the decline of this Atlantic food fish partly on the harp seal,the cod
